Reference number	Reference						
R378	Islam, R., Hossain, M.B., Das, N.G. & Rafi, R.-U.-N. (2009) Food and feeding behaviour of grey mullet Mugil cephalus of Bangladesh coastal water. Bangladesh J Prog Sci Tech, 7, 273–276.						
R379	Chang, K.-H., Hanazato, T., Ueshima, G. & Tahara, H. (2005) Feeding Habit of Pond Smelt ( Hypomesus transpacificus nipponensis ) and Its Impact on the Zooplankton Community in Lake Suwa, Japan. Journal of Freshwater Ecology, 20, 129–138. https://doi.org/10.1080/02705060.2005.9664946.						
R380	Song, M.-Y., Kim, S.-Y., Hong, Y.-K. & Lee, W.-O. (2017) Studies on the feeding habits of Mandrin fish, Siniperca scherzeri in the Soyang Lake, Korea. Korean Journal of Ichthyology, 29, 124–129.						
R381	Dauvin, J.-C. & Dodson, J.J. (1990) Relationship between feeding incidence and vertical and longitudinal distribution of rainbow smelt larvae (Osmerus mordax) in a turbid well-mixed estuary. Marine Ecology Progress Series, 1–12.						
R382	Ko, M.-H, Kim, I.-S., Park, J.-Y. & Lee, Y.-J. (2007) The change of feeding habits and feeding organ of land-locked Plecoglossus altivelis (Pisces: Osmeridae), in relation to growth in the Lake Okjeong, Korea. Korean Journal of Limnology, 40, 337–345.						
R383	Okada, N., Asami, H. & Yamaguchi, M. (2009) Distribution and feeding habits of shirauo, Salangichthys microdon, in the Ishikari [Japan] River system and adjacent nearshore areas, western Hokkaido. Scientific Reports of Hokkaido Fisheries Experimental Station (Japan), 75, 7-13.						
R384	Ara, R., Arshad, A. & Nurul Amin, S.M. (2016) Food and feeding habits of Omobranchus sp.(Blenniidae: Omobranchini) larvae in the seagrass-mangrove ecosystem of Johor Strait, Malaysia.						
R385	Maksimenkov, V.V. & Tokranov, A.M. (1993) The diet of pond smelt, Hypomesus olidus, in the Bol’shaya River estuary (western Kamchatka). Journal of Ichthyology, 33, 11–21.						
R386	Huh, S.H., Kim, J.M., Park, J.M. & Baeck, G.W. (2013) 동해 남부 고리 주변해역에 출현하는 돛양태 (Repomucenus hunatus )의 식성 - Feeding habits of moon dragonet Repomucenus lunatus in the coastal waters off Gori, Korea. Korean Journal of Ichthyology, 25, 17–24.						
R387	Gonzales, B.J., Taniguchi, N., Okamura, O. & Machida, Y. (1996) Diet and Feeding Behavior of Two Dragonets Calliurichthys japonicus and Repomucenus huguenini in Tosa Bay, Southern Japan. Fisheries science, 62, 902–908. https://doi.org/10.2331/fishsci.62.902.						
R388	Silvano, R.A.M. (2001) Feeding Habits and Interspecific Feeding Associations of Caranx Latus (Carangidae) in a Subtropical Reef. Environmental Biology of Fishes, 60, 465–470. https://doi.org/10.1023/A:1011064923544.						
R389	Bekbergenov, Z.H. & Sagitov, N.I. (1984) Feeding habits of juveniles of some commercial fishes in the Amu Dar’ya River. Journal of Ichthyology, 24, 18–22. (From Fishbase www.fishbase.org)						
R390	Santic, M., Jardas, I. & Pallaoro, A. (2005) Feeding habits of horse mackerel, Trachurus trachurus (Linneaus, 1758), from the central Adriatic Sea. Journal of Applied Ichthyology, 21, 125–130. https://doi.org/10.1111/j.1439-0426.2004.00603.x.						
R391	Huh, S.-H & Cha, B.-Y. (1998) Feeding habits of Jack mackerel, Trachurus japonicus, collected from the Nakdong River estuary. Bulletin of the Korean Societ of Fishery Technology, 34, 320–327.						
R392	Lee, Y.J., Lee, J.H. & Kim, Y.H. (2021) Feeding habits of the Jack Mackerel Trachurus japonicus in the Southern Sea of the Republic of Korea. Korean Journal of Fisheries and Aquatic Sciences, 54, 64–72.						
R393	Park, J.S., Kim, S.H., Kim, H.T., Kim, J.G. & Kim, H.S. (2019) Study on feeding habits of Micropterus salmoides in habitat types from Korea. Korean Journal of Ichthyology, 31, 39–53. https://doi.org/10.35399/ISK.31.1.6						
R394	Qin, J. & Fast, A.W. (1996) Size and feed dependent cannibalism with juvenile snakehead Channa striatus. Aquaculture, 144, 313–320. https://doi.org/10.1016/0044-8486(96)01299-9.						
R395	Blanco, S., Romo, S., Villena, M.-J. & Martínez, S. (2003) Fish communities and food web interactions in some shallow Mediterranean lakes. Hydrobiologia, 506–509, 473–480. https://doi.org/10.1023/B:HYDR.0000008583.05327.da.						
R396	Shorygin, A.A. (1952) Feeding and trophic relations of fishes of the Caspian Sea, Pishchepromizdat, Moscow 268p. (From Fishbase www.fishbase.org)						
R397	Saylor, R.K., Lapointe, N.W.R. & Angermeier, P.L. (2012) Diet of non-native northern snakehead (Channa argus) compared to three co-occurring predators in the lower Potomac River, USA. Ecology of Freshwater Fish, 21, 443–452. https://doi.org/10.1111/j.1600-0633.2012.00563.x.						
R398	Panda, A., Sethy, J., Samal, D., Nayak, L.D. & Sahu, H.K. (2014) Gut Content of Channa Punctatus in Budhabalanga River, Baripada, Odisha. Journal of Wildlife Research, 2, 22–26.						
R399	Billard, R. (1997) Les poissons d’eau douce des rivières de France : identification, inventaire et répartition des 83 espèces, Delachaux & Niestle, Lausanne 192p.						
R400	Maeda, K. & Tachihara, K. (2004) Instream distributions and feeding habits of two species of sleeper, Eleotris acanthopoma and Eleotris fusca, in the Teima River, Okinawa Island. Ichthyological Research, 51, 233–240. https://doi.org/10.1007/s10228-004-0224-8.						
R401	Horinouchi, M., Sano, M., Taniuchi, T. & Shimizu, M. (1998) Food and Microhabitat Resource Use by Rudarius ercodes and Ditrema temmincki Coexisting in a Zostera Bed at Aburatsubo, Central Japan. Fisheries science, 64, 563–568. https://doi.org/10.2331/fishsci.64.563.						
R402	Kwak, S.N., Huh, S.-H. & Klumpp, D.W. (2004) Partitioning of food resources among Sillago japonica, Ditremma temmincki, Tridentiger trigonocephalus, Hippocampus japonicus and Petroscirtes breviceps in an eelgrass, Zostera marina, bed. Environmental Biology of Fishes, 71, 353–364. https://doi.org/10.1007/s10641-004-1259-4.						
R403	Workman, M. & Merz, J. (2007) Introduced Yellowfin Goby, Acanthogobius flavimanus: Diet and Habitat Use in the Lower Mokelumne River, California. San Francisco Estuary and Watershed Science, 5. https://doi.org/10.15447/sfews.2007v5iss1art1.						
R404	Sung-Hoi, H.U.H. & Nam, K.S. (1999) Feeding habits of Acanthogobius flavimanus in the eelgrass (Zostera marina) bed in Kwangyang Bay. Korean Journal of Fisheries and Aquatic Sciences, 32, 10–17.						
R405	Choi, H.C., Cho, J.H., Huh, S.H. & Park, J.M. (2019) Feeding habits of larval Acanthogobius flavimanus from the Nakdong River estuary, Korea. Korean Journal of Ichthyology, 31, 150–158.						
R406	Park, J.H., Jeong, J.M., Kim, H.J., Ye, S.J. & Baeck, G.W. (2016) Feeding habits of yellowfin goby, Acanthogobius flavimanus in the tidal flat of Sangnae-ri, Suncheon, Korea. Journal of the Korean Society of Fisheries and Ocean Technology, 52, 169–175.						
R407	Kim, J.-Y. & Yoon, J.-M. (2019) Food Organisms of Juveniles of Acanthogobius elongata from the Intertidal Zone in the Western Coast of Korea. Journal of Fishries and Marine Sciences Education, 31, 1039–1044. https://doi.org/10.13000/JFMSE.2019.8.31.4.1039.						
R408	Huh, S.H. & Kwak, S.N. (1998) Feeding Habits of Acentrogobius pflaumii in Eelgrass (Zostera marina) Bed in Kwangyang Bay. Korean Journal of Ichthyology, 10, 24–31.						
R409	Jeong, S.-J., Lee, S.-H., Hwang, J.-H., Yeong, I.-H., Kim, H.-J., Lee, J.-H. & Han, K.-H. (2009) Habitat and spawning of the Blue Spot Mudskipper, Boleophthalmus pectinirostris distributed in the Kangjin Bay. Bulletin of the Fisheries Science Institute Chonnam National University, 18, 92–97.						
R410	Murdy, E.O. (2008) Paratrypauchen, a new genus for Trypauchen microcephalus Bleeker, 1860,(Perciformes: Gobiidae: Amblyopinae) with a redescription of Ctenotrypauchen chinensis Steindachner, 1867, and a key to ‘Trypauchen’group genera. aqua, International Journal of Ichthyology, 14, 115–128.						
R411	Huh, S.-H. & Kwak, S.N. (1998b) 광양만 잘피밭에 서식하는 날개망둑 (Favonigobius gymnauchen)의 식성 - Feeding habits of Favonigobius gymnauchen in the eelgrass (Zostera marina) bed in Kwangyang Bay. Journal of Korean Fishery and Aquatic Science, 31, 372–379.						
R412	Kim, J.-Y. (1997) Feeding habits of the Favonigobius gymnauchen from the coast intertidal zone in the west coast of Korea. Fishery Sicence Research 13, 1–11.						
R413	Kim, Y.-J. & Kim, J.-M. (2003) Feeding habits of three species of Gymngobius (Gobiidae) from Hosan River, Korea. Korean Journal of Ichthyology, 15, 37–44.						
R414	Kim, H.J., Jeong, J.M., Ye, S.J., Baeck, G.W. & Huh, S.-H. (2016) Feeding habits of juvenile of Gymnogobius heptacanthus in the coastal waters of Geoje, Korea. Korean Journal of Ichthyology, 28, 41–46.						
R415	Kim, B.G., Kim, J.H., Chung, S.W. & Han, K.N. (2014) Feeding ecology of Luciogobius guttatus (Pisces; Gobiidae) in the Youngjong tide pool, Incheon, Korea. Korean Journal of Ichthyology, 26, 202–211.						
R416	Kim, J.-Y. & Yoon, J.-M. (2016) Food Organisms of Juveniles of Mugilogobius abei Inhabited at Intertidal Zone of the Western Coast of Korea. 한국수산과학회 양식분과 학술대회, 228.						
R417	Berg, L.S. (1949) Freshwater fishes of the USSR and adjacent countries. Israel program for scientific translations, Jerusalem, 2, 496.						
R418	Kruitwagen, G., Nagelkerken, I., Lugendo, B.R., Pratap, H.B. & Wendelaar Bonga, S.E. (2007) Influence of morphology and amphibious life-style on the feeding ecology of the mudskipper Periophthalmus argentilineatus. Journal of Fish Biology, 71, 39–52. https://doi.org/10.1111/j.1095-8649.2007.01508.x.						
R419	Colombini, I., Berti, R., Nocita, A. & Chelazzi, L. (1996) Foraging strategy of the mudskipper Periophthalmus sobrinus Eggert in a Kenyan mangrove. Journal of Experimental Marine Biology and Ecology, 197, 219–235. https://doi.org/10.1016/0022-0981(95)00160-3.						
R420	Chukwu, K.O. & Deekae, S.N. (2013) Foods of the mudskipper (Periophthalmus barbarus) from New Calabar River, Nigeria. Journal of Agriculture and Veterinary Science, 5, 45–48.						
R421	Sone, S., Inoue, M. & Yanagisawa, Y. (2001) Habitat use and diet of two stream gobies of the genus Rhinogobius in south-western Shikoku, Japan. Ecological Research, 16, 205–219. https://doi.org/10.1046/j.1440-1703.2001.00387.x.						
R422	Park, J.H., Jeong, J.M., Kim, H.J., Ye, S.J. & Baeck, G.W. (2015) Feeding Habits of Javelin Goby Synechogobius hasta on Tide Flat in Sangnae-ri Suncheon, Korea. Korean Journal of Fisheries and Aquatic Sciences, 48, 982–987. https://doi.org/10.5657/KFAS.2015.0982.						
R423	KIM, J.-Y. & YOON, J.-M. (2016) Food organisms of juveniles of Tridentiger trigonocephalus from the intertidal zone in the western coast of Korea. Journal of Fisheries and Marine Sciences Education, 28, 180–185.						
R424	송미해, (2022). 민물두줄망둑, Tridentiger bifasciatus, 수정란 발생과정에 미치는 benzophenone-3 (BP3) 영향. Master thesis. Pukyong National University.						
R425	Kang, A.-R. (2010). Feeding Habits of Tridentiger trigonocephalus from the Boryeong Coast Intertidal Zone in the West Coast of Korea. Master thesis. Kunsan University.						
R426	Qin, J., Xie, S. & Cheng, F. (2020) Broad Diet Composition and Seasonal Feeding Variation Facilitate Successful Invasion of the Shimofuri Goby (Tridentiger bifasciatus) in a Water Transfer System. Water, 12, 3411. https://doi.org/10.3390/w12123411.						
R427	Bulgakova, Y.V., Andrianov, D.P. & Lisovenko, L.A. (1997) Estimation of feeding intensity of Black Sea anchovy Engraulis encrasicolus ponticus. Journal of Ichthyology, 37, 617–623.						
R428	Akagi, M., Kanou, K. & Kohno, H. (2018) Habitat use and feeding ecology of early larvae of the gobiids, Rhinogobius kurodai and Tridentiger brevispinis, in an urban pond in Tokyo, Japan. Biogeography, 20, 85–95.						
R429	허성회 & 곽석남 (1998) 광양만 장피밭에 서식하는 농어 (Lateolabrax Japonicus) 의 식성. 수산해양기술연구, 34, 191–199.						
R430	Li, J. Study on food composition and feeding habit of Japanese sea bass,Lateolabrax japonicus (C. et V.) in Bohai Sea. Mar. Sci. 3, 39–43 (1998).						
R431	정재묵, 김현지, 예상진, 염시동, 박종혁 & 백근욱 (2015) 순천 상내리 갯골에 출현하는 농어 (Lateolabrax japonicus) 치어의 식성. 수산해양기술연구 (구 한국어업기술학회지), 51, 221–226.						
R432	허성회, 박주면, 박세창, 정달상, 박찬일 & 백근욱 (2009) 여수 돌산도 주변해역에서 출현하는 농어 (Lateolabrax japonicus) 의 식성. 한국어류학회지, 21, 23–27.						
R433	Asriyana, A., Irawati, N. & Indrayani, I. (2018) Trophic ecology of twoblotch ponyfish Nuchequula blochii in Kendari Bay, Southeast Sulawesi, Indonesia. AACL Bioflux, 11, 66–82.						
R434	Angelini, R., de Morais, R.J., Catella, A.C., Resende, E.K. & Libralato, S. (2013) Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control? Ecological Modelling, 253, 82–96. https://doi.org/10.1016/j.ecolmodel.2013.01.001.						
R435	Zhu, C., Liu, G., Gu, X., Yin, J., Xia, A., Han, M., Zhang, T. & Jiang, Q. (2022) Effect of quercetin on muscle growth and antioxidant status of the dark sleeper Odontobutis potamophila. Frontiers in Genetics, 13. https://doi.org/10.3389/fgene.2022.938526.						
R436	Omarov, O.P. & Popova, O.A. (1985) Feeding behavior of pike, Esox lucius and catfish, Silurus glanis, in the Arakum Reservoirs of Dagestan. Journal of Ichthyology, 25, 25–36. (From Fishbase www.fishbase.org)						
R437	Crescenti, N., Guglielmo, L., Costanzo, G., Zagami, G. & Granata, A. (2000) Occurrence of Mysidacea (Crustacea) in the Pacific Sector of Antarctica and Distribution of Antarctomysis ohlini in Terra Nova Bay (Western Ross Sea). Ross Sea Ecology, pp. 335–350. Springer Berlin Heidelberg, Berlin, Heidelberg. https://doi.org/10.1007/978-3-642-59607-0_26.						
R438	Vigg, S., Poe, T.P., Prendergast, L.A. & Hansel, H.C. (1991) Rates of Consumption of Juvenile Salmonids and Alternative Prey Fish by Northern Squawfish, Walleyes, Smallmouth Bass, and Channel Catfish in John Day Reservoir, Columbia River. Transactions of the American Fisheries Society, 120, 421–438. https://doi.org/10.1577/1548-8659(1991)120<0421:ROCOJS>2.3.CO;2.						
R439	변화근 (2017) 금강에 서식하는 꺽지 (Coreoperca herzi) 의 식성. 한국환경생태학회지, 31, 472–478.						
R440	Huh, S.-H., Choi, H.C. & Park, J.M. (2018) Feeding Relationship between Co-occurring Silver Croaker (Pennahia argentata) and Japanese Sillago (Sillago japonica) in the Nakdong River Estuary, Korea. Korean Journal of Ichthyology, 30, 224–231. https://doi.org/10.35399/ISK.30.4.5.						
R441	곽석남 & 허성회 (2001) Feeding habits of Trumpeter Whiting, Sillago maculata in the tropical seagrass beds of Cockle Bay, Queensland. 한국어류학회지, 13, 223–229.						
R442	지승철, 이시우, 김양수, 정관식, 유진형, 최낙중 & 명정구 (2008) 잘피밭 해역에 방류된 감성돔 Acanthopagrus schlegeli 치어의 식성 및 어체성분 변화. 한국양식학회지, 21, 278–284.						
R443	Hoi, H.S. & Nam, K.S. (1998) 광양만 잘피밭에서 서식하는 감성돔 ( Acanthopagrus schlegeli ) 유어의 식성 - Feeding habits of juvenile Acanthopagrus schlegeli in the eelgrass ( Zostera marina ) bed in Kwangyang Bay. Korean Journal of Ichthgology, 10, 168–175.						
R444	Kock, M., Focken, U., Richter, H., Becker, K. & Santiago, C.B. (2000) Feeding ecology of silverperch, Terapon plumbeus Kner, and the impact of fish-pens in Laguna de Bay, Philippines. Journal of Applied Ichthyology, 16, 240–246. https://doi.org/10.1046/j.1439-0426.2000.00240.x.						
R445	Whitfield, A.K. & Blaber, S.J.M. (1978) Scale-eating habits of the marine teleost Terapon jarbua (Forskal). Journal of Fish Biology, 12, 61–70. https://doi.org/10.1111/j.1095-8649.1978.tb04151.x.						
R446	Viherluoto, M. (2001) Food selection and feeding behaviour of Baltic Sea mysid shrimps. Doctoral Thesis. University of Helsinki 35p.						
R447	Šantić, M., Jardas, I. & Pallaoro, A. (2003) Feeding habits of Mediterranean horse mackerel, Trachurus mediterraneus (Carangidae), in the central Adriatic Sea. Cybium, 27, 247–253. https://doi.org/https://doi.org/10.26028/cybium/2004-274-001.						
R448	윤희남, 김기동, 전용락, 이중효 & 박영준 (2013) 오대산 일대에 서식하는 열목어와 산천어의 식성. KOREAN JOURNAL OF ICHTHYOLOGY, 25, 90–105.						
R449	Kang, S.Y.H., Yang, H., Lee, C.S. & Choi, S.H. (2007) Stomach contents of Chum salmon (Oncorhynchus keta) fingerlings in Namdae stream. Journal of Korean Society and Oceanography, 12, 89–93.						
R450	변화근, 심하식, 최재석, 손영목, 최준길 & 전상린 (1995) 치악산 계류에 서식하는 둑중개 (Cottus poecilopus Heckel) 의 식성. 한국어류학회지, 7, 160–170.						
R451	백현민, 심하식, 윤희남 & 송호복 (2008) 호산천에 서식하는 멸종위기종인 한둑중개 Cottus hangiongensis 의 섭식생태. 한국어류학회지, 20, 279–284.						
R452	수산생명자원정보센터 (2021) https://www.nifs.go.kr/frcenter/.						
R453	Dick, T., Chambers, C. & Gallagher, C.P. (2009) Parasites, diet and stable isotopes of shorthorn sculpin ( Myoxocephalus scorpius ) from Frobisher bay, Canada. Parasite, 16, 297–304. https://doi.org/10.1051/parasite/2009164297.						
R454	Cardinale, M. (2000) Ontogenetic diet shifts of bull-rout, Myoxocephalus scorpius (L.), in the south-western Baltic Sea. Journal of Applied Ichthyology, 16, 231–239. https://doi.org/10.1046/j.1439-0426.2000.00231.x.						
R455	Islam, M.S., Hibino, M. & Tanaka, M. (2007) Distribution and diet of the roughskin sculpin, Trachidermus fasciatus, larvae and juveniles in the Chikugo River estuary, Ariake Bay, Japan. Ichthyological Research, 54, 160–167. https://doi.org/10.1007/s10228-006-0387-6.						
R456	곽석남 & 허성희 (2002) 광양만 잘피밭에 서식하는 양태 (Platycephalus indicus) 의 식성. 한국어류학회지, 14, 29–35.						
R457	Baba, O. & Sano, M. (1987) Diel feeding patterns of the congiopodid fish Hypodytes rubripinnis in Aburatsubo Bay, Japan. Japanese Journal of Ichthyology, 34, 209–214.						
R458	김수환 & 박종영 (2014) 섬진강수계 남원 요천에 서식하는 섬진자가사리 Liobagrus somjinensis 의 먹이 선호도. 한국어류학회지, 26, 118–124.						
R459	손영목 & 변화근 (2005) 금강에서 서식하는퉁사리 (Liobagrus obesus) 의 식성. 기초과학연구논총, 19, 215–219.						
R460	윤희남, 김종명, 배양섭 & 채병수 (2007) 남한강 지류에 서식하는 퉁가리 (Liobagrus andersoni) 의 식성. 한국어류학회지, 19, 236–245.						
R461	Kwak, Y.-H., Kim, K.-R. & Bang, I.-C. (2019) Diel Activity and Feeding Habitat of Pseudobagrus brevicorpus (Pisces: Bagridae) in the Daegacheon Stream of Nakdonggang River, Korea. Korean Journal of Ichthyology, 31, 54–62. https://doi.org/10.35399/ISK.31.1.7.						
R462	Copp, G.H., Robert Britton, J., Cucherousset, J., García-Berthou, E., Kirk, R., Peeler, E. & Stakėnas, S. (2009) Voracious invader or benign feline? A review of the environmental biology of European catfish Silurus glanis in its native and introduced ranges. Fish and Fisheries, 10, 252–282. https://doi.org/10.1111/j.1467-2979.2008.00321.x.						
R463	Huh Sung-Hoi & Nam, K.S. (1998) 연구논문/광양만 잘피밭에 서식하는 복섬 (Takifugu niphobles) 유어의 식성 - Feeding Habits of Juvenile Takifugu niphobles in the Eelgrass (Zostera marina) bed in Kwangyang Bay. 한국수산과학회지, 31, 806–812.						
R464	HEO, Y.-S., KWON, C.-S., LEE, B.-K., KIM, H.-K., KlM, B.-K., Choj, J.-S. & KIM, Y.-W. (2002) Survival of the early lavae of the Freshwater Crab, Eriocheir japonicus (De Haan) fed on different diets in the Laboratory. Korean Journal of Life Science, 12, 407–415.						
R465	Wen, X.B., Chen, L.Q., Zhou, Z.L., Ai, C.X. & Deng, G.Y. (2002) Reproduction response of Chinese mitten-handed crab (Eriocheir sinensis) fed different sources of dietary lipid. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 131, 675–681. https://doi.org/10.1016/S1095-6433(01)00515-3.						
R466	Pinnegar, J.K. (2014) DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK, 39. https://www.cefas.co.uk/data-and-publications/fish-stomach-records/.						
R467	Nowińska, A. & Brożek, J. (2020) Insect evolution toward aquatic habitats; reassessment of antennal sensilla in the water bug families Ochteridae, Gelastocoridae and Aphelocheiridae (Hemiptera: Heteroptera: Nepomorpha). Contributions to Zoology, 89, 412–433.						
R468	Farrapeira, C., Mendes, E., Dourado, J. & Guimarães, J. (2010) Coliform accumulation in Amphibalanus amphitrite (Darwin, 1854) (Cirripedia) and its use as an organic pollution bioindicator in the estuarine area of Recife, Pernambuco, Brazil. Brazilian Journal of Biology, 70, 301–309. https://doi.org/10.1590/S1519-69842010000200011.						
R469	나철호, 위인선, 이종빈, 조영관, 김종선 & others (1992) 강도래상과 4 종의 먹이습성에 관한 연구. 한국하천호수학회지, 25, 63–71.						
R470	Vaught, G.L. & Stewart, K.W. (1974) The Life History and Ecology of the Stonefly Neoperla clymene (Newman) (Plecoptera: Perlidae)1. Annals of the Entomological Society of America, 67, 167–178. https://doi.org/10.1093/aesa/67.2.167.						
R471	Richardson, J.W. & Gaufin, A.R. (1971) Food habits of some western stonefly nymphs. Transactions of the American Entomological Society (1890-), 97, 91–121.						
R472	Xie, C., Zhu, B., Yuan, X., Wang, M. & Jin, H. (1997) The biology of Mandarin fish Siniperca chuatsi with reference to the problem of maximum sustainable yield in Bao’An Lake. Acta Hydrobiologica Sinica A, 21, 193–207. (From Fishbase www.fishbase.org)						
R473	Haage, P. (1970) On the Feeding Habits of Two Baltic Species of Caddis Larvae (Trichoptera). Insect Systematics & Evolution, 1, 282–290. https://doi.org/10.1163/187631270X00230.						
R474	Belman, B.W. & Anderson, M.E. (1979) Aquarium Observations on Feeding by Melanostigma pammelas (Pisces: Zoarcidae). Copeia, 1979, 366. https://doi.org/10.2307/1443432.						
R475	Sung, W., Peiqi, Y. & Yiyu, C. (1998) China Red Data Book of Endangered Animals: Pisces, Science press, Beijing 247p.						
R476	Deng, J.Y., Meng, T.X. & Ren, S.M. (1986) Food web of fishes in Bohai Sea. Acta Ecologica Sinica, 6, 356–364.						
R477	Islam, M.S., Hibino, M. & Tanaka, M. (2006) Distribution and diets of larval and juvenile fishes: Influence of salinity gradient and turbidity maximum in a temperate estuary in upper Ariake Bay, Japan. Estuarine, Coastal and Shelf Science, 68, 62–74. https://doi.org/10.1016/j.ecss.2006.01.010.						
R478	Rotheray, G.E. & others (1993) Colour guide to hoverfly larvae (Diptera, Syrphidae) in Britain and Europe.						
R479	Faragher, R.A. (1980) Life cycle of Hemicordulia tau Selys (Odonata: Corduliidae) in lake Eucumbene, N.S.W., with notes on predation on it by two trout species. Australian Journal of Entomology, 19, 269–276. https://doi.org/10.1111/j.1440-6055.1980.tb00985.x.						
R480	Schenková, J., Jarkovský, J. & Helešic, J. (2007) Strategies of Coexistence of Two Species:Erpobdella octoculata andE. vilnensis (Hirudinea: Erpobdellidae). International Review of Hydrobiology, 92, 527–538. https://doi.org/10.1002/iroh.200610992.						
R481	Azuma, M. & Motomura, Y. (1998) Feeding habits of largemouth bass in a non-native environment: the case of a small lake with bluegill in Japan. Environmental Biology of Fishes, 52, 379–389. https://doi.org/10.1023/A:1007476104352.	fish food source를 gut analysis 통해 연구한 결과 Chironomidae, Ephemeroptera(Poly...), Odonata(Libelludidae)가 우세했다.					
R482	López van Oosterom, M. V., Ocón, C.S., Brancolini, F., Maroñas, M.E., Sendra, E.D. & Rodrigues Capítulo, A. (2013) Trophic relationships between macroinvertebrates and fish in a pampean lowland stream (Argentina). Iheringia. Série Zoologia, 103, 57–65. https://doi.org/10.1590/S0073-47212013000100009.						
R483	Aydogan, Z., Gurol, A. & Incekara, U. (2018) Heavy Element Accumulation in Aquatic Beetles of the Genus Enochrus (Coleoptera: Hydrophilidae) in Erzurum Province. Journal of Environmental Pollution and Control, 1, 101. https://doi.org/10.15744/2639-9288.1.101.						
R484	Horinouchi, M., Sano, M., Taniuchi, T. & Shimizu, M. (1996) Stomach contents of the tetraodontid fish,Takifugu pardalis, inZostera beds at Aburatsubo, central Japan. Ichthyological Research, 43, 455–458. https://doi.org/https://doi.org/10.11369/jji1950.40.193.						
R485	Park, S.-C., Lee, K.Y., Choi, K.-S., Han, M.-S. & Ko, M.-H. (2021) Inhabitat status and gastric contents of invasive fish species and the effect on fish fauna at three reservoirs in National Parks of Korea. Korean Journal of Ichthyology, 33, 84–94. https://doi.org/10.35399/ISK.33.2.5.						
R486	Urabe, J. & Maruyama, T. (1986) Prey selectivity of two cyprinid fishes in Ogochi Reservoir. NIPPON SUISAN GAKKAISHI, 52, 2045–2054. https://doi.org/10.2331/suisan.52.2045.						
R487	Senta, T., Kimura, M. & Kanbara, T. (1993) Predation of fishes on open-ocean species of sea-skaters (Halobates spp.). Japanese Journal of Ichthyology, 40, 193–198.						
R488	Whitfield, A.K. (1985) The role of zooplankton in the feeding ecology of fish fry from some southern African estuaries. African Zoology, 20, 166–171.						
R489	Proctor, R.M. & Young, J.O. (1987) The life history, diet and migration of a lake-dwelling population of the leech Alboglossiphonia heteroclita (L.). Hydrobiologia, 150, 133–139. https://doi.org/10.1007/BF00006660.						
R490	Siddall, M.E., Budinoff, R.B. & Borda, E. (2005) Phylogenetic evaluation of systematics and biogeography of the leech family Glossiphoniidae. Invertebrate Systematics, 19, 105. https://doi.org/10.1071/IS04034.						
R491	Wrona, F.J., Davies, R.W., Linton, L. & Wilkialis, J. (1981) Competition and coexistance between Glossiphonia complanata and Helobdella stagnalis (Glossiphoniidae: Hirudinoidea). Oecologia, 48, 133–137. https://doi.org/10.1007/BF00347001.						
R492	Kantor, Y.I. & Medinskaya, A.I. (1991) Morphology and feeding of Mitrella burchardi (Gastropoda: Columbellidae). Asian Marine Biology, 8, 25–33.						
R493	Barraclough, D.A. (1983) The biology and immature stages of some Sepedon snail-killing flies in Natal (Diptera: Sciomyzidae). Annals of the Natal Museum, 25, 293–317.						
R494	Gbedjissi, L.G., Vala, J.-C. & Knutson, L. (2003) Predation by larvae of Sepedon ruficeps (Diptera: Sciomyzidae) and population dynamics of the adult flies and their freshwater.						
R495	Endo, C. & Watanabe, K. (2020) Morphological variation associated with trophic niche expansion within a lake population of a benthic fish. PLOS ONE, 15, e0232114. https://doi.org/10.1371/journal.pone.0232114.						
R496	Yamane, H., Watanabe, K. & Nagata, Y. (2013) Diversity in interspecific interactions between a nest-associating species, Pungtungia herzi, and multiple host species. Environmental Biology of Fishes, 96, 573–584. https://doi.org/10.1007/s10641-012-0047-9.						
R497	Choi, H.C., Park, J.M., Baeck, G.W. & Huh, S.H. (2016) The Summer Diet of a Juvenile Barbell Steed, Hemibarbus labeo, in the Surf Zone of the Nakdong River Estuary, Korea. Journal of the Korean Society of Marine Environment \& Safety, 22, 766–772.						
R498	Paganelli, D., Gazzola, A., Rodolfi, M., Sconfietti, R. & Picco, A.M. (2017) Trophic preference and preliminary indication of phylloplane fungal influence on the diet of the non-native Gammarus roeselii Gervais 1835 (Amphipoda, Gammaridae) in the sub-lacustrine Ticino river basin (Lombardy, Northern Italy). Italian Journal of Mycology, 46, 37–47.						
R499	Nip, T.H.M., Ho, W.-Y. & Kim Wong, C. (2003) Feeding ecology of larval and juvenile black seabream (Acanthopagrus schlegeli) and Japanese seaperch (Lateolabrax japonicus) in Tolo Harbour, Hong Kong. Environmental Biology of Fishes, 66, 197–209. https://doi.org/10.1023/A:1023611207492.						
R500	ELGER, A. & LEMOINE, D. (2005) Determinants of macrophyte palatability to the pond snail Lymnaea stagnalis. Freshwater Biology, 50, 86–95. https://doi.org/10.1111/j.1365-2427.2004.01308.x.						
